f_property_type,f_neighbourhood,n_days_since_rv,n_days_since_host,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_sound,d_baby,d_beach,d_stove,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
apartment,Ward 115,367,3187,100,85,2,2,NA,1,11,98,1,0.9,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,950,40839330,Ward 115,apartment
apartment,Ward 115,NA,1734,100,95,2,4,2,6,0,NA,1,NA,2,1,1,1,0,1,1,1,1,0,1,0,1,1,0,2601,40850601,Ward 115,apartment
apartment,Ward 54,361,1599,100,100,4,2,1,1,8,100,4,0.66,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,2211,40851291,Ward 54,apartment
apartment,Ward 113,NA,430,NA,NA,0,4,3,3,0,NA,1,NA,2.5,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2000,40851821,Ward 113,apartment
apartment,Ward 115,357,812,100,96,12,2,NA,1,11,98,15,0.92,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1114,40852792,Ward 115,apartment
apartment,Ward 23,373,1787,100,67,0,6,3,6,2,100,1,0.16,2,0,1,0,0,1,1,0,0,0,0,1,0,1,0,3800,40853952,Ward 23,apartment
apartment,Ward 61,364,375,100,100,0,3,2,2,4,100,1,0.33,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,891,40860080,Ward 61,apartment
apartment,Ward 54,360,1599,100,100,4,2,1,2,13,98,4,1.08,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,3329,40862385,Ward 54,apartment
apartment,Ward 55,NA,2108,NA,NA,2,2,1,2,0,NA,2,NA,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1000,40877556,Ward 55,apartment
apartment,Ward 4,354,2542,100,33,0,2,1,1,2,100,1,0.17,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,700,40877976,Ward 4,apartment
apartment,Ward 73,358,664,0,100,1,3,1,1,4,100,1,0.33,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,400,40881203,Ward 73,apartment
apartment,Ward 1,358,822,100,100,0,2,1,1,1,100,1,0.08,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,500,40889654,Ward 1,apartment
apartment,Ward 64,357,374,67,78,0,2,NA,0,7,94,1,0.59,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,600,40891184,Ward 64,apartment
apartment,Ward 115,326,1075,89,85,30,2,1,1,4,100,15,0.37,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1900,40902604,Ward 115,apartment
apartment,Ward 54,358,547,89,96,4,2,1,1,3,73,4,0.25,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1533,40902769,Ward 54,apartment
apartment,Ward 115,348,1075,89,85,30,2,1,1,9,96,15,0.77,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,2160,40906145,Ward 115,apartment
apartment,Ward 115,327,545,100,100,1,2,1,1,8,90,1,0.73,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1804,40910979,Ward 115,apartment
apartment,Ward 58,349,774,40,78,1,2,1,1,6,97,1,0.51,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,250,40916817,Ward 58,apartment
apartment,Ward 83,299,373,100,88,0,4,2,3,10,98,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,750,40921252,Ward 83,apartment
apartment,Ward 60,358,558,NA,100,0,2,1,1,1,100,1,0.08,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,790,40929387,Ward 60,apartment
apartment,Ward 64,NA,1553,100,75,3,6,2,3,0,NA,2,NA,1.5,1,1,1,1,1,1,1,0,0,0,0,1,1,0,2500,40930868,Ward 64,apartment
apartment,Ward 102,NA,372,NA,100,0,3,1,1,0,NA,1,NA,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,750,40931910,Ward 102,apartment
apartment,Ward 57,369,2664,100,95,25,4,4,4,1,80,19,0.08,2,0,1,1,1,1,1,0,0,0,0,0,0,1,0,700,40932082,Ward 57,apartment
apartment,Ward 115,NA,1974,100,88,23,2,NA,1,0,NA,25,NA,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,2100,40935424,Ward 115,apartment
apartment,Ward 113,350,1120,NA,100,0,4,2,5,4,95,1,0.34,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,800,40937470,Ward 113,apartment
apartment,Ward 72,361,372,100,79,0,4,2,3,6,100,1,0.5,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,689,40944396,Ward 72,apartment
apartment,Ward 115,355,467,100,96,10,2,1,1,8,100,10,0.67,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,2038,40952379,Ward 115,apartment
apartment,Ward 54,357,371,100,100,0,4,2,2,3,87,2,0.25,2,0,1,1,0,1,1,1,0,0,0,0,1,0,0,2574,40955125,Ward 54,apartment
apartment,Ward 54,325,370,100,100,0,6,3,3,4,100,2,0.37,3,0,1,1,0,1,1,1,1,0,0,0,1,1,0,6396,40960132,Ward 54,apartment
apartment,Ward 55,352,919,100,99,2,2,1,1,34,94,4,2.89,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1347,40960307,Ward 55,apartment
apartment,Ward 115,361,371,100,100,0,2,NA,1,3,93,1,0.25,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1457,40961339,Ward 115,apartment
apartment,Ward 115,360,1754,100,100,20,2,1,1,45,96,13,3.74,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,964,40965726,Ward 115,apartment
apartment,Ward 54,324,547,89,96,4,2,NA,1,4,95,4,0.37,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1500,40967716,Ward 54,apartment
apartment,Ward 115,351,894,50,30,3,4,2,0,1,100,3,0.09,2.5,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1500,40967952,Ward 115,apartment
